timestamp,open,high,low,close,volume
2025-01-01T00:00:00+00:00,100.0,100.1491,99.8587,100.1491,49265
2025-01-02T00:00:00+00:00,100.1491,101.0928,100.1491,100.4433,3082
2025-01-03T00:00:00+00:00,100.4433,100.7933,100.4433,100.7169,14031
2025-01-04T00:00:00+00:00,100.7169,100.7169,99.6208,99.8416,19231
2025-01-05T00:00:00+00:00,99.8416,100.0581,99.4863,99.4863,23298
2025-01-06T00:00:00+00:00,99.4863,99.7564,99.448,99.5817,25898
2025-01-07T00:00:00+00:00,99.5817,100.6798,99.5817,99.6784,48823
2025-01-08T00:00:00+00:00,99.6784,99.7033,99.4891,99.6375,20213
2025-01-09T00:00:00+00:00,99.6375,99.9122,99.3919,99.3919,47174
2025-01-10T00:00:00+00:00,99.3919,100.3689,99.2255,99.2255,16256
2025-01-11T00:00:00+00:00,99.2255,99.4949,98.505,98.7303,11659
2025-01-12T00:00:00+00:00,98.7303,99.6041,98.5546,99.6041,43469
2025-01-13T00:00:00+00:00,99.6041,100.3804,99.6041,100.0426,31294
2025-01-14T00:00:00+00:00,100.0426,100.0426,99.1746,99.31,45866
2025-01-15T00:00:00+00:00,99.31,100.6006,99.0142,100.6006,21673
2025-01-16T00:00:00+00:00,100.6006,101.0413,100.4895,100.7798,48049
2025-01-17T00:00:00+00:00,100.7798,101.1067,100.4059,100.9591,31071
2025-01-18T00:00:00+00:00,100.9591,101.2908,100.7913,100.7913,49956
2025-01-19T00:00:00+00:00,100.7913,100.7913,99.4194,99.5947,10065
2025-01-20T00:00:00+00:00,99.5947,99.6899,99.4306,99.6899,42120
2025-01-21T00:00:00+00:00,99.6899,100.5429,99.6899,100.0122,40052
2025-01-22T00:00:00+00:00,100.0122,101.3063,100.0122,101.171,1752
2025-01-23T00:00:00+00:00,101.171,101.4403,100.9259,101.0024,43006
2025-01-24T00:00:00+00:00,101.0024,101.1908,100.8317,101.1908,48323
2025-01-25T00:00:00+00:00,101.1908,101.4259,100.9691,100.9783,7973
2025-01-26T00:00:00+00:00,100.9783,101.222,100.2261,100.2261,11016
2025-01-27T00:00:00+00:00,100.2261,101.1265,100.069,100.8732,1037
2025-01-28T00:00:00+00:00,100.8732,100.8732,100.2423,100.7998,21153
2025-01-29T00:00:00+00:00,100.7998,101.1386,100.7998,100.9422,48966
2025-01-30T00:00:00+00:00,100.9422,100.9422,100.2033,100.2033,9414
2025-01-31T00:00:00+00:00,100.2033,100.2033,98.8869,99.5712,40753
2025-02-01T00:00:00+00:00,99.5712,99.5712,98.7142,98.7142,14182
2025-02-02T00:00:00+00:00,98.7142,98.7142,97.7604,97.7604,34919
2025-02-03T00:00:00+00:00,97.7604,97.7604,97.4886,97.7118,37301
